time,temperature_2m,precipitation_probability,precipitation,wind_speed_10m,visibility
2026-07-30 00:00:00,11.1,0,0.0,13.0,38400.0
2026-07-30 01:00:00,11.0,0,0.0,11.6,38380.0
2026-07-30 02:00:00,10.9,0,0.0,11.9,33240.0
2026-07-30 03:00:00,10.8,0,0.0,14.1,33240.0
2026-07-30 04:00:00,10.7,0,0.0,13.8,38380.0
2026-07-30 05:00:00,10.5,0,0.0,12.3,33240.0
2026-07-30 06:00:00,10.3,0,0.0,9.7,33220.0
2026-07-30 07:00:00,10.1,0,0.0,9.5,33220.0
2026-07-30 08:00:00,10.2,0,0.0,11.6,33220.0
2026-07-30 09:00:00,10.8,0,0.0,11.3,33220.0
2026-07-30 10:00:00,11.6,0,0.0,11.3,38340.0
2026-07-30 11:00:00,12.4,0,0.0,15.1,42420.0
2026-07-30 12:00:00,13.2,0,0.0,14.3,42420.0
2026-07-30 13:00:00,13.9,0,0.0,12.5,46320.0
2026-07-30 14:00:00,14.4,0,0.0,10.2,46300.0
2026-07-30 15:00:00,14.7,0,0.0,9.1,46300.0
2026-07-30 16:00:00,14.6,0,0.0,8.3,42400.0
2026-07-30 17:00:00,14.5,0,0.0,7.8,42380.0
2026-07-30 18:00:00,14.2,0,0.0,11.4,42380.0
2026-07-30 19:00:00,14.3,0,0.0,13.5,46280.0
2026-07-30 20:00:00,14.4,0,0.0,15.4,42380.0
2026-07-30 21:00:00,14.2,0,0.0,16.3,42360.0
2026-07-30 22:00:00,13.9,0,0.0,16.0,42360.0
2026-07-30 23:00:00,13.8,0,0.0,16.2,42360.0
2026-07-31 00:00:00,13.9,0,0.0,16.3,42360.0
2026-07-31 01:00:00,14.0,0,0.0,16.6,42340.0
2026-07-31 02:00:00,14.0,0,0.0,16.2,42340.0
2026-07-31 03:00:00,13.9,0,0.0,15.0,42340.0
2026-07-31 04:00:00,13.8,0,0.0,14.3,42340.0
2026-07-31 05:00:00,13.7,0,0.0,14.8,42380.0
2026-07-31 06:00:00,13.7,0,0.0,14.9,42400.0
2026-07-31 07:00:00,13.9,1,0.0,14.5,42380.0
2026-07-31 08:00:00,14.1,3,0.0,13.6,26480.0
2026-07-31 09:00:00,14.7,10,0.0,13.0,42400.0
2026-07-31 10:00:00,15.6,27,0.0,12.7,39740.0
