time,temperature_2m,precipitation_probability,precipitation,wind_speed_10m,visibility
2026-07-29 00:00:00,10.5,6,0.0,10.7,7700.0
2026-07-29 01:00:00,10.0,4,0.0,13.1,8440.0
2026-07-29 02:00:00,9.7,3,0.0,14.5,10440.0
2026-07-29 03:00:00,9.8,2,0.0,12.3,13980.0
2026-07-29 04:00:00,9.7,1,0.0,10.6,19000.0
2026-07-29 05:00:00,9.4,0,0.0,9.6,32940.0
2026-07-29 06:00:00,8.9,0,0.0,10.0,33320.0
2026-07-29 07:00:00,8.9,0,0.0,5.4,38460.0
2026-07-29 08:00:00,8.3,0,0.0,8.6,33320.0
2026-07-29 09:00:00,8.8,0,0.0,7.8,33320.0
2026-07-29 10:00:00,10.1,0,0.0,7.3,38460.0
2026-07-29 11:00:00,11.4,0,0.0,5.7,46440.0
2026-07-29 12:00:00,12.5,0,0.0,7.1,46440.0
2026-07-29 13:00:00,13.2,0,0.0,7.2,49760.0
2026-07-29 14:00:00,13.6,0,0.0,7.7,49740.0
2026-07-29 15:00:00,13.9,0,0.0,7.2,49740.0
2026-07-29 16:00:00,13.1,0,0.0,8.3,49740.0
2026-07-29 17:00:00,12.3,0,0.0,7.6,46400.0
2026-07-29 18:00:00,11.7,0,0.0,6.2,46400.0
2026-07-29 19:00:00,11.5,0,0.0,7.1,46400.0
2026-07-29 20:00:00,11.1,0,0.0,8.8,46400.0
2026-07-29 21:00:00,10.6,0,0.0,10.1,46380.0
2026-07-29 22:00:00,10.4,0,0.0,10.1,42480.0
2026-07-29 23:00:00,10.3,0,0.0,12.9,42480.0
2026-07-30 00:00:00,10.5,0,0.0,12.3,38400.0
2026-07-30 01:00:00,10.4,0,0.0,12.7,38380.0
2026-07-30 02:00:00,10.6,0,0.0,11.3,38380.0
2026-07-30 03:00:00,10.4,0,0.0,11.4,33240.0
2026-07-30 04:00:00,10.4,0,0.0,12.8,33240.0
2026-07-30 05:00:00,10.2,0,0.0,13.5,33240.0
2026-07-30 06:00:00,9.9,0,0.0,12.7,33240.0
2026-07-30 07:00:00,9.8,0,0.0,11.3,33220.0
2026-07-30 08:00:00,9.8,0,0.0,10.6,33220.0
2026-07-30 09:00:00,10.6,0,0.0,11.3,33220.0
2026-07-30 10:00:00,11.9,0,0.0,13.9,38340.0
2026-07-30 11:00:00,12.7,0,0.0,15.3,42420.0
2026-07-30 12:00:00,13.4,0,0.0,13.7,46320.0
2026-07-30 13:00:00,13.6,0,0.0,10.0,42400.0
2026-07-30 14:00:00,14.2,0,0.0,9.8,46300.0
2026-07-30 15:00:00,14.6,0,0.0,11.0,46300.0
2026-07-30 16:00:00,14.9,0,0.0,10.6,46300.0
2026-07-30 17:00:00,15.0,0,0.0,10.5,42380.0
2026-07-30 18:00:00,14.5,0,0.0,12.6,42380.0
2026-07-30 19:00:00,14.5,0,0.0,14.9,42380.0
2026-07-30 20:00:00,14.5,0,0.0,15.7,42380.0
2026-07-30 21:00:00,14.3,0,0.0,15.8,42360.0
2026-07-30 22:00:00,14.3,0,0.0,15.6,42360.0
2026-07-30 23:00:00,14.3,0,0.0,15.2,42360.0
2026-07-31 00:00:00,14.4,0,0.0,15.6,42360.0
2026-07-31 01:00:00,14.7,0,0.0,15.9,42340.0
2026-07-31 02:00:00,14.7,0,0.0,15.2,42340.0
2026-07-31 03:00:00,14.8,0,0.0,14.6,42340.0
2026-07-31 04:00:00,14.8,1,0.0,14.2,42360.0
2026-07-31 05:00:00,14.7,4,0.0,13.6,22740.0
2026-07-31 06:00:00,14.7,12,0.1,12.8,11320.0
2026-07-31 07:00:00,14.7,30,0.3,12.6,8960.0
2026-07-31 08:00:00,14.7,53,0.5,13.2,7180.0
2026-07-31 09:00:00,15.3,71,0.1,13.1,13420.0
2026-07-31 10:00:00,15.9,78,1.0,14.2,33220.0
2026-07-31 11:00:00,17.1,80,0.0,11.9,42500.0
2026-07-31 12:00:00,17.9,82,1.5,16.3,2560.0
2026-07-31 13:00:00,18.2,85,7.1,17.4,8500.0
2026-07-31 14:00:00,18.5,88,0.1,16.5,3280.0
2026-07-31 15:00:00,19.6,90,2.9,18.9,8780.0
2026-07-31 16:00:00,20.7,92,0.3,18.6,11360.0
2026-07-31 17:00:00,19.9,93,0.1,19.7,11860.0
2026-07-31 18:00:00,18.9,94,0.0,22.0,12940.0
2026-07-31 19:00:00,19.3,94,0.5,27.7,2720.0
2026-07-31 20:00:00,18.4,93,1.6,26.3,4100.0
2026-07-31 21:00:00,18.1,92,6.7,11.6,1620.0
2026-07-31 22:00:00,18.0,93,13.9,10.3,1540.0
2026-07-31 23:00:00,17.8,95,3.0,9.0,2640.0
2026-08-01 00:00:00,17.6,94,1.5,11.6,8760.0
2026-08-01 01:00:00,17.7,88,3.6,13.2,2180.0
2026-08-01 02:00:00,18.0,80,3.4,11.0,2680.0
2026-08-01 03:00:00,17.7,71,1.0,12.5,6840.0
2026-08-01 04:00:00,17.7,63,0.1,12.2,12080.0
2026-08-01 05:00:00,17.6,54,0.1,9.9,15860.0
2026-08-01 06:00:00,17.5,47,0.0,16.0,7220.0
2026-08-01 07:00:00,17.3,41,0.2,19.5,11560.0
2026-08-01 08:00:00,16.4,37,0.0,15.5,29380.0
2026-08-01 09:00:00,15.8,33,0.1,18.9,9880.0
2026-08-01 10:00:00,15.5,31,0.9,18.8,8440.0
2026-08-01 11:00:00,15.3,31,0.9,17.2,6980.0
2026-08-01 12:00:00,15.4,29,0.9,15.7,5540.0
2026-08-01 13:00:00,16.0,25,0.1,14.8,15760.0
2026-08-01 14:00:00,16.8,19,0.1,14.1,25980.0
2026-08-01 15:00:00,17.4,14,0.1,13.3,36200.0
2026-08-01 16:00:00,17.6,9,0.0,12.2,40600.0
2026-08-01 17:00:00,17.4,4,0.0,11.0,44980.0
2026-08-01 18:00:00,17.0,0,0.0,9.8,49380.0
2026-08-01 19:00:00,16.3,0,0.0,8.8,48260.0
2026-08-01 20:00:00,15.3,0,0.0,7.8,47160.0
2026-08-01 21:00:00,14.4,0,0.0,7.1,46040.0
2026-08-01 22:00:00,13.7,0,0.0,7.1,44740.0
2026-08-01 23:00:00,13.1,0,0.0,7.6,43440.0
2026-08-02 00:00:00,12.4,0,0.0,7.7,42140.0
2026-08-02 01:00:00,11.7,0,0.0,7.2,40780.0
2026-08-02 02:00:00,11.0,0,0.0,6.5,39420.0
2026-08-02 03:00:00,10.4,0,0.0,6.1,38060.0
2026-08-02 04:00:00,9.9,0,0.0,6.5,36360.0
2026-08-02 05:00:00,9.6,0,0.0,7.0,34640.0
2026-08-02 06:00:00,9.5,0,0.0,7.3,32940.0
2026-08-02 07:00:00,9.8,0,0.0,7.6,31760.0
2026-08-02 08:00:00,10.4,0,0.0,9.4,30600.0
2026-08-02 09:00:00,11.0,0,0.0,11.1,29420.0
2026-08-02 10:00:00,11.5,0,0.0,10.5,20320.0
2026-08-02 11:00:00,12.1,0,0.0,9.2,11240.0
2026-08-02 12:00:00,12.6,0,0.0,9.4,2140.0
2026-08-02 13:00:00,12.8,1,0.0,11.7,2620.0
2026-08-02 14:00:00,13.0,3,0.0,15.0,3100.0
2026-08-02 15:00:00,13.0,4,0.0,16.8,3580.0
2026-08-02 16:00:00,12.8,3,0.0,16.1,4420.0
2026-08-02 17:00:00,12.4,2,0.0,14.0,5240.0
2026-08-02 18:00:00,12.1,2,0.0,12.3,6080.0
2026-08-02 19:00:00,11.8,5,0.0,12.0,9900.0
2026-08-02 20:00:00,11.5,10,0.0,12.3,13740.0
2026-08-02 21:00:00,11.3,14,0.0,12.3,17560.0
2026-08-02 22:00:00,11.0,15,0.0,11.5,19480.0
2026-08-02 23:00:00,10.8,15,0.0,11.0,21380.0
2026-08-03 00:00:00,10.7,16,0.0,10.4,23300.0
2026-08-03 01:00:00,10.6,20,0.0,9.3,24580.0
2026-08-03 02:00:00,10.7,25,0.0,12.0,25840.0
2026-08-03 03:00:00,10.6,27,0.0,14.5,27120.0
2026-08-03 04:00:00,10.4,25,0.0,10.9,28740.0
2026-08-03 05:00:00,10.1,20,0.0,7.2,30380.0
2026-08-03 06:00:00,9.9,16,0.0,9.0,32000.0
2026-08-03 07:00:00,9.7,14,0.0,9.0,32280.0
2026-08-03 08:00:00,9.6,12,0.0,7.6,32560.0
2026-08-03 09:00:00,9.9,10,0.0,7.0,32840.0
2026-08-03 10:00:00,11.2,8,0.0,8.0,37180.0
2026-08-03 11:00:00,12.9,6,0.0,9.3,41520.0
2026-08-03 12:00:00,14.2,4,0.0,9.3,45860.0
